Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-781
Date,"September 10, 1996"
Associated Legislation,H.R. 3576
Committee,Committee on Transportation and Infrastructure
Action,Referred to the House Calendar and ordered to be printed
Recommendation,"The Committee on Transportation and Infrastructure, to whom was referred the bill (H.R. 3576) to designate the United States courthouse located at 401 South Michigan Street in South Bend, Indiana, as the ``Robert Kurtz Rodibaugh United States Courthouse'', having considered the same, report favorably thereon with amendments and recommend that the bill as amended to pass."
