Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-350
Date,"August 2, 1996"
Associated Legislation,S. 1970
Committee,Committee on Indian Affairs
Calendar,564
Action,Ordered to be printed
Recommendation,"The Committee on Indian Affairs to which was referred the bill (S. 1970) to amend the National Museum of the American Indian Act to make improvements in the Act, and for other purposes, having considered the same, reports favorably thereon without amendment and recommends that the bill do pass."
