Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-753
Date,"August 2, 1996"
Associated Legislation,H.R. 447
Committee,Committee on Commerce
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Commerce, to whom was referred the bill (H.R. 447) to establish a toll free number in the Department of Commerce to assist consumers in determining if products are American-made, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
