Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-855
Date,"September 27, 1996"
Associated Legislation,H. Res. 546
Committee,Committee on Rules
Action,Referred to the House Calendar and ordered to be printed
Recommendation,"The Committee on Rules, having had under consideration House Resolution 546, by a non-record vote, report the same to the House with the recommendation that the resolution be adopted."
