Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-374
Date,"September 30, 1996"
Associated Legislation,H.R. 531
Committee,Committee on Energy and Natural Resources
Calendar,612
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the Act (H.R. 531) to designate the Great Western Scenic Trail as a study trail under the National Trails System Act, and for other purposes, having considered the same, reports favorably thereon without amendment and recommends that the Act do pass."
