Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-831
Date,"September 24, 1996"
Associated Legislation,H.R. 3841
Committee,Committee on Government Reform and Oversight
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Government Reform and Oversight, to whom was referred the bill (H.R. 3841) to amend the civil service laws of the United States, and for other purposes, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
