Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-810
Date,"September 20, 1996"
Associated Legislation,H.R. 1031
Committee,Committee on the Judiciary
Action,Committed to the Committee of the Whole House and ordered to be printed
Recommendation,"The Committee on the Judiciary, to whom was referred the bill (H.R. 1031) for the relief of Oscar Salas-Velazquez, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
