Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-866
Date,"October 3, 1996"
Associated Legislation,H.R. 3534
Committee,Committee on Resources
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 3534) to authorize the Secretary of the Interior to renew certain permits in the Mineral King Addition of the Sequoia National Park and to protect historic and cultural resources in that National Park, and for other purposes, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
