Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-852
Date,"September 26, 1996"
Associated Legislation,H. Res. 538
Committee,Committee on Oversight
Action,Referred to the House Calendar and ordered to be printed
Recommendation,"The Committee on House Oversight, having had under consideration the resolution (H. Res. 538), dismissing the election contest against Charlie Rose, report the same to the House with the recommendation that the resolution be agreed to."
