Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-386
Date,"September 30, 1996"
Associated Legislation,S. 1921
Committee,Committee on Energy and Natural Resources
Calendar,609
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the bill (S. 1921) to authoritze the Secretary of the Interior to transfer certain facilities at the Minidoka project to the Burley Irrigation District, and for other purposes, having considered the same, reports favorably thereon with an amendment and recommends that the bill, as amended, do pass."
