Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-776
Date,"September 5, 1996"
Associated Legislation,H. Res. 470
Committee,Committee on Economic and Educational Opportunities
Action,Rewferred to the House Calendar and ordered to be printed
Recommendation,"The Committee on Economic and Educational Opportunities, to whom was referred the resolution (H. Res. 470) expressing the sense of the Congress that the Department of Education should play a more active role in the monitoring and enforcing compliance with the provisions of the Higher Education Act of 1965 related to campus crime, having considered the same, report favorably thereon without amendment and recommend that the resolution be agreed to."
