Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-859
Date,"September 28, 1996"
Associated Legislation,H.R. 3307
Committee,Committee on the Judiciary
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on the Judiciary, to whom was referred the bill (H.R. 3307) to amend title 5, United States Code, to provide for a limitation on sanctions imposed by agencies and for other purposes, having considered the same, report favorably thereon with amendments and recommend that the bill as amended do pass."
