Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-363
Date,"September 9, 1996"
Associated Legislation,S. 1973
Committee,Committee on Indian Affairs
Calendar,582
Action,Ordered to be printed
Recommendation,"The Committee on Indian Affairs, to which was referred the bill (S. 1973) to provide for the settlement of the Navajo-Hopi land dispute and for other purposes, having considered the same, reports favorably with an amendment in the nature of a substitute and recommends that the bill as amended do pass."
