Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-340
Date,"July 31, 1996"
Associated Legislation,S. 1311
Committee,"Committee on Commerce, Science, and Transportation"
Calendar,550
Action,Ordered to be printed
Recommendation,"The Committee on Commerce, Science, and Transportation, to which was referred the bill (S. 1311) ``A bill to establish a National Physical Fitness and Sports Foundation to carry out activities to support and supplement the mission of the President's Council on Physical Fitness and Sports, and for other purposes,'' having considered the same, reports favorably thereon without amendment and recommends that the bill do pass."
