Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-883
Date,"January 2, 1997"
Committee,Committee on International Relations
Calendar,485
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
