Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-868
Date,"November 26, 1996"
Committee,Committee on Rules
Calendar,471
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
