Collection,Congressional Reports
SuDoc Class Number,Y 1.1/6:
Publisher,U.S. Government Publishing Office
Report Type,Senate Executive Report
Report Number,Ex. Rept. 104-36
Date,"September 25, 1996"
Associated Legislation,Treaty Doc. 104-32
Committee,Committee on Foreign Relations
Action,Ordered to be printed
Recommendation,"The Committee on Foreign Relations, to which was referred the Protocol, signed at Jakarta on July 24, 1996, amending the Convention between the Government of the United States of America and the Government of the Republic of Indonesia for the Avoidance of Double Taxation and the Prevention of Fiscal Evasion with Respect to Taxes on Income with a Related Protocol and Exchange of Notes signed at Jakarta on July 11, 1988, having considered the same, reports favorably thereon, without amendment, and recommends that the Senate give its advice and consent to ratification thereof."
