Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-780
Date,"September 10, 1996"
Associated Legislation,H.R. 3535
Committee,Committee on Transportation and Infrastructure
Action,Referred to the House Calendar and ordered to be printed
Recommendation,"The Committee on Transportation and Infrastructure, to whom was referred the bill (H.R. 3535) to redesignate a Federal building in Suitland, Maryland, as the ``W. Edwards Deming Federal Building'', having considered the same, report favorably thereon without amendment and recommend that the bill do pass."
