Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-824
Date,"September 24, 1996"
Associated Legislation,H.R. 3155
Committee,Committee on Resources
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 3155) to amend the Wild and Scenic Rivers Act by designating the Wekiva River, Seminole Creek, and Rock Springs Run in the State of Florida for study and potential addition to the national wild and scenic rivers system, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
