Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-755
Date,"September 4, 1996"
Associated Legislation,H.R. 2135
Committee,Committee on Resources
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 2135) to provide for the correction of boundaries of certain lands in Clark County, Nevada, acquired by persons who purchased such lands in good faith reliance on existing private land surveys, having considered the same, report favorably thereon with amendments and recommend that the bill as amended do pass."
