Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-813
Date,"September 20, 1996"
Associated Legislation,H.R. 4025
Committee,Committee on the Judiciary
Action,Committed to the Committee of the Whole House and ordered to be printed
Recommendation,"The Committee on the Judiciary, to whom was referred the bill (H.R. 4025) for the relief of the estate of Gail E. Dobert, having considered the same, report favorably thereon without amendment and recommend that the bill do pass."
