Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-345
Date,"July 31, 1996"
Associated Legislation,S. Con. Res. 52
Committee,Committee on Labor and Human Resources
Calendar,554
Action,Ordered to be printed
Recommendation,"The Committee on Labor and Human Resources, to which was referred the concurrent resolution (S. Con. Res. 52) to recognize and encourage the convening of a National Silver Haired Congress, having considered the same, reports favorably thereon without amendment and recommends that the concurrent resolution do pass."
