Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-750
Date,"August 2, 1996"
Associated Legislation,H.R. 3719
Committee,Committee on Small Business
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Small Business, to whom was referred the bill (H.R. 3719) to amend the Small Business Act and Small Business Investment Act of 1958, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
