Collection,Congressional Reports
SuDoc Class Number,Y 1.1/6:
Publisher,U.S. Government Publishing Office
Report Type,Senate Executive Report
Report Number,Ex. Rept. 104-33
Date,"September 11, 1996"
Associated Legislation,Treaty Doc. 103-21
Committee,Committee on Foreign Relations
Action,Ordered to be printed
Recommendation,"The Committee on Foreign Relations, to which was referred the Convention on the Prohibition of Development, Production, Stockpiling and Use of Chemical Weapons and on Their Destruction, opened for signature and signed by the United States at Paris on January 13, 1993, including the following documents, which are integral parts thereof: the Annex on Chemicals; the Annex on Implementation and Verification; and the Annex on the Protection of Confidential Information, having considered the same, reports favorably thereon and recommends that the Senate give its advice and consent to ratification thereof subject to 7 conditions and 11 declarations as set forth in this report and the accompanying resolution of ratification."
