Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-783
Date,"September 12, 1996"
Associated Legislation,H.R. 3876
Committee,Committee on Economic and Educational Opportunities
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Economic and Educational Opportunities, to whom was referred the bill (H.R. 3876) to amend the Juvenile Justice and Delinquency Prevention Act of 1974 to authorize appropriations for fiscal years 1997, 1998, 1999, and 2000; and for other purposes, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
