Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,"H. Rept. 104-761, Part 1"
Date,"September 4, 1996"
Associated Legislation,H.R. 2711
Committee,Committee on Resources
Action,Ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 2711) to provide for the substitution of timber for the canceled Elkhorn Ridge Timber Sale, having considered the same, report favorably thereon without amendment and recommend that the bill do pass."
