Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,"H. Rept. 104-790, Part 1"
Date,"September 16, 1996"
Associated Legislation,S. 811
Committee,Committee on Resources
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the Act (S. 811) to authorize research into the desalinization and reclamation of water and authorize a program for States, cities, or qualifying agencies desiring to own and operate a water desalinization or reclamation facility to develop such facilities, and for other purposes, having considered the same, report favorably thereon with amendments and recommend that the Act as amended do pass."
