Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-807
Date,"September 18, 1996"
Associated Legislation,H.R. 2988
Committee,Committee on Commerce
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Commerce, to whom was referred the bill (H.R. 2988) to amend the Clean Air Act to provide that traffic signal synchronization projects are exempt from certain requirements of Environmental Protection Agency Rules, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
