Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,"H. Rept. 104-815, Part 1"
Date,"September 20, 1996"
Associated Legislation,H.R. 3217
Committee,Committee on Transportation and Infrastructure
Action,Ordered to be printed
Recommendation,"The Committee on Transportation and Infrastructure, to whom was referred the bill (H.R. 3217) to provide for ballast water management to prevent the introduction and spread of nonindigenous species into the waters of the United States, and for other purposes, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
