Collection,Congressional Reports
SuDoc Class Number,Y 1.1/6:
Publisher,U.S. Government Publishing Office
Report Type,Senate Executive Report
Report Number,Ex. Rept. 104-35
Date,"September 25, 1996"
Associated Legislation,Treaty Doc. 104-23
Committee,Committee on Foreign Relations
Action,Ordered to be printed
Recommendation,"The Committee on Foreign Relations, to which was referred the Protocol Between the Government of the United States of America and the Government of the Kingdom of the Netherlands in Respect of the Netherlands Antilles Amending Article VIII of the 1948 Convention with Respect to Taxes on Income and Certain Other Taxes as Applicable to the Netherlands Antilles, signed at Washington on October 10, 1995, having considered the same, reports favorably thereon, without amendment, and recommends that the Senate give its advice and consent to ratification thereof."
