Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-353
Date,"August 27, 1996"
Associated Legislation,H.R. 3814
Committee,Committee on Appropriations
Calendar,568
Action,Ordered to be printed
Recommendation,"The Committee on Appropriations, to which was referred the bill (H.R. 3814) making appropriations for the Departments of Commerce, Justice, and State, the Judiciary, and related agencies programs for the fiscal year ending September 30, 1997, and for other purposes, reports the same to the Senate with amendments and recommends that the bill as amended do pass."
