Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-342
Date,"July 31, 1996"
Associated Legislation,S. 1840
Committee,"Committee on Commerce, Science, and Transportation"
Calendar,552
Action,Ordered to be printed
Recommendation,"The Committee on Commerce, Science, and Transportation, to which was referred the bill (S. 1840) ``A bill to amend the Federal Trade Commission Act to authorize appropriations for the Federal Trade Commission'', having considered the same, reports favorably thereon and recommends that the bill do pass."
