Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-383
Date,"September 30, 1996"
Associated Legislation,S. 1719
Committee,Committee on Energy and Natural Resources
Calendar,591
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the bill (S. 1719) to require the Secretary of the Interior to offer to sell to certain public agencies the indebtedness representing the remaining repayment balance of certain Bureau of Reclamation projects in Texas, and for other purposes, having considered the same, reports favorably thereon with an amendment and an amendment to the title and recommends that the bill, as amended, do pass."
