Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-361
Date,"September 3, 1996"
Associated Legislation,H.R. 3068
Committee,Committee on Indian Affairs
Calendar,573
Action,Ordered to be printed
Recommendation,"The Committee on Indian Affairs to which was referred the bill (H.R. 3068) to accept the request of the Prairie Island Indian Community to revoke their charter of incorporation issued under the Indian Reorganization Act, having considered the same, reports favorably thereon with an amendment in the nature of a substitute and recommends that the bill as amended do pass."
