Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-362
Date,"September 9, 1996"
Associated Legislation,S. 1264
Committee,Committee on Indian Affairs
Calendar,581
Action,Ordered to be printed
Recommendation,"The Committee on Indian Affairs, to which was referred the bill (S. 1264) to provide for certain benefits of the Missouri Basic Pick-Sloan project to the Crow Creek Sioux Tribe, and for other purposes, having considered the same, reports favorably thereon with an amendment in the nature of a substitute and recommends that the bill as amended do pass."
