Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-823
Date,"September 24, 1996"
Associated Legislation,H.R. 2508
Committee,Committee on Commerce
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Commerce, to whom was referred the bill (H.R. 2508) to amend the Federal Food, Drug, and Cosmetic Act to provide for improvements in the process of approving and using animal drugs, and for other purposes, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
