Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-770
Date,"September 4, 1996"
Associated Legislation,H.R. 3910
Committee,Committee on Resources
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Resources, to whom was referred the bill (H.R. 3910) to provide emergency drought relief to the city of Corpus Christi, Texas, and the Canadian River Municipal Water Authority, Texas, and for other purposes, having considered the same, report favorably thereon with an amendment and recommend that the bill as amended do pass."
