Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-366
Date,"September 9, 1996"
Associated Legislation,S. 1887
Committee,Committee on Judiciary
Calendar,547
Action,Ordered to be printed
Recommendation,"The Committee on the Judiciary, to which was referred the bill (S. 1887) to make improvements in the operation and administration of the Federal courts, and for other purposes, having considered the same, reports favorably thereon with amendments and recommends that the bill, as amended, do pass."
