Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-344
Date,"July 31, 1996"
Associated Legislation,S. 1643
Committee,Committee on Labor and Human Resources
Calendar,553
Action,Ordered to be printed
Recommendation,"The Committee on Labor and Human Resources, to which was referred the bill (S. 1643) to amend the Older Americans Act of 1965 to authorize appropriations for fiscal year 1997 through 2001, and for other purposes, having considered the same, reports favorably thereon with amendments and recommends that the bill (as amended) do pass."
