Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-365
Date,"September 9, 1996"
Associated Legislation,S. 1317
Committee,"Committee on Banking, Housing, and Urban Affairs"
Calendar,584
Action,Ordered to be printed
Recommendation,"The Committee on Banking, Housing, and Urban Affairs, to which was referred the bill (S. 1317) to repeal the Public Utility Holding Company Act of 1935, to enact the Public Utility Holding Company Act of 1995, and for other purposes, having considered the same, reports favorably thereon with an amendment in the nature of a substitute and recommends that the bill (as amended) do pass."
