Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,"H. Rept. 104-804, Part 1"
Date,"September 17, 1996"
Associated Legislation,H. Con. Res. 180
Committee,Committee on National Security
Action,Ordered to be printed
Recommendation,"The Committee on National Security, to whom was referred the concurrent resolution (H. Con. Res. 180) commending the Americans who served the United States during the period known as the Cold War, having considered the same, report favorably thereon with amendments and recommend that the concurrent resolution be agreed to."
