Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,"H. Rept. 104-833, Part 1"
Date,"September 24, 1996"
Associated Legislation,H.R. 1186
Committee,Committee on Commerce
Action,Ordered to be printed
Recommendation,"The Committee on Commerce, to whom was referred the bill (H.R. 1186) to provide for the safety of journeymen boxers, and for other purposes, having considered the same, reports favorably thereon with an amendment and recommends that the bill as amended do pass."
