Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-794
Date,"September 17, 1996"
Associated Legislation,H.R. 4040
Committee,Committee on Transportation and Infrastructure
Action,Committed to the Committee of the Whole House on the State of the Union and ordered to be printed
Recommendation,"The Committee on Transportation and Infrastructure, to whom was referred the bill (H.R. 4040) to amend title 49, United States Code, relating to intermodal safe container transportation, having considered the same, report favorably thereon without amendment and recommend that the bill do pass."
