Collection,Congressional Reports
SuDoc Class Number,Y 1.1/8:
Publisher,U.S. Government Publishing Office
Report Type,House Report
Report Number,H. Rept. 104-876
Date,"January 2, 1997"
Committee,Committee on Standards of Official Conduct
Calendar,289
Action,Referred to the House Calendar and ordered to be printed
